pid;link;collection;lunr_id;artist;title;text;source
ch1;{{'/constitution/c1/' | relative_url }};constitution;1;;;Everything is on fire but I think it would be an all-around good idea to include an additional amendment focusing on contributing to a clean and safe environment.;1.png
ch2;{{'/constitution/c2/' | relative_url }};constitution;2;;;Where do I ever start ? :(;2.png
ch3;{{'/constitution/c3/' | relative_url }};constitution;3;;;Just throw the whole thing out.;3.png
ch4;{{'/constitution/c4/' | relative_url }};constitution;4;;;Establish public (federal) financing of electrions + ... on big money in politics though constitutional amendment.;4.png
ch5;{{'/constitution/c5/' | relative_url }};constitution;5;;;It should have been revised every 20 years (at least that's what Jefferson said) but people want to be a century behind :);5.png
ch6;{{'/constitution/c6/' | relative_url }};constitution;6;;;Nothing;6.png
ch7;{{'/constitution/c7/' | relative_url }};constitution;7;;;28th Amendment around compaign finance fairness. 29th Amendment ensuring right to a clear environment. Abolish the senate / re-work its duties within the coufires of Article V;7.png
ch8;{{'/constitution/c8/' | relative_url }};constitution;8;;;Add more laws to the environment! <3;8.png
ch9;{{'/constitution/c9/' | relative_url }};constitution;9;;;October 8th, 2019. Title VII SHOULD project LQBTQ+ people on the basis of sexual orientation & gender identity.;9.png
ch10;{{'/constitution/c10/' | relative_url }};constitution;10;;;28th Amendment around compaign finance fairness. 29th Amendment ensuring right to a clear environment. Abolish the senate / re-work its duties within the coufires of Article V;10.png
ch11;{{'/constitution/c11/' | relative_url }};constitution;11;;;It should have been revised every 20 years (at least that's what Jefferson said) but people want to be a century behind :);11.png
ch12;{{'/constitution/c12/' | relative_url }};constitution;12;;;Nothing;12.png
ch13;{{'/constitution/c13/' | relative_url }};constitution;13;;;Make laws more explicitly inclusive + add protections against discriminations like homophobia + transphobia;13.png
ch14;{{'/constitution/c14/' | relative_url }};constitution;14;;;The electoral college is a joke. GET RID OF IT. gg;14.png
ch15;{{'/constitution/c15/' | relative_url }};constitution;15;;;BURN IT! But seriously, other than the Bill of Rights the whole thing needs to be rewriten from scratch.  Most nations rewrite constitutions every 20 years on average. No need to retain this document morely because of out indoctriensed reverence to a cobal of 18th century white supremacist ???. Even the freedoms enumerated in the Bill of Rights are routinely trampled when the inretest of the ruling??? class are threatened. How many Fred Hompsons, how many MLKs must they murder before we see this is not a land of freedom!?;15.png
