pid,link,collection,lunr_id,topic,amendment,article,text,source
ch1,{{'/constitution/c1/' | relative_url }},constitution,1,constitution revision,,,Everything is on fire but I think it would be an all-around good idea to include an additional amendment focusing on contributing to a clean and safe environment.,1.png
ch2,{{'/constitution/c2/' | relative_url }},constitution,2,:(,,,Where do I ever start ? :(,2.png
ch3,{{'/constitution/c3/' | relative_url }},constitution,3,constitutional revision,,,Just throw the whole thing out.,3.png
ch4,{{'/constitution/c4/' | relative_url }},constitution,4,campaign financing,,,Establish public (federal) financing of elections + ... on big money in politics though constitutional amendment.,4.png
ch5,{{'/constitution/c5/' | relative_url }},constitution,5,constitutional revision,,Article V,It should have been revised every 20 years (at least that's what Jefferson said) but people want to be a century behind :),5.png
ch6,{{'/constitution/c6/' | relative_url }},constitution,6,no change,,,Nothing,6.png
ch7,{{'/constitution/c7/' | relative_url }},constitution,7,campaign financing,28th Amendment,Article V,28th Amendment around campaign finance fairness. 29th Amendment ensuring right to a clear environment. Abolish the senate / re-work its duties within the confines of Article V,7.png
ch8,{{'/constitution/c8/' | relative_url }},constitution,8,environment,,,Add more laws to the environment! <3 [Picture of a tree],8.png
ch9,{{'/constitution/c9/' | relative_url }},constitution,9,LGBTQ+,,,October 8th 2019. Title VII SHOULD project LQBTQ+ people on the basis of sexual orientation & gender identity.,9.png
ch10,{{'/constitution/c10/' | relative_url }},constitution,10,sovereignty,28th Amendment,,Actively enforce all laws; support public defenders; increase popular sovereignty,10.png
ch11,{{'/constitution/c11/' | relative_url }},constitution,11,environment,12th Amendment,,Put in Environmental Protections; All people are equal; Remove electoral college,11.png
ch12,{{'/constitution/c12/' | relative_url }},constitution,12,constitutional revision,,,BURN IT! But seriously other than the Bill of Rights the whole thing needs to be rewriten from scratch.  Most nations rewrite constitutions every 20 years on average. No need to retain this document merely because of out indoctrinised reverence to a cabal of 18th century white supremacist tyrants. Even the freedoms enumerated in the Bill of Rights are routinely trampled when the interest of the ruling class are threatened. How many Fred Hompsons how many MLKs must they murder before we see this is not a land of freedom!?,12.png
ch13,{{'/constitution/c13/' | relative_url }},constitution,13,LGBTQ+,,,Make laws more explicitly inclusive + add protections against discriminations like homophobia + transphobia,13.png
ch14,{{'/constitution/c14/' | relative_url }},constitution,14,electoral college,12th Amendment,Title V,The electoral college is a joke. GET RID OF IT. gg,14.png
ch15,{{'/constitution/c15/' | relative_url }},constitution,15,weight of vote,,,"Make it so policies are more geared toward the future. Have votes be weighted with expected life expectancy, with young people’s votes counting more.",15.png
